Candidate_ID,Gender,Race,Age,Education,Experience_Years,Job_Role_Applied,Skills,Certifications,Screening_Score,Selected
C0001,Male,Asian,23,High School,0,Software Engineer,"Git, Python, AWS",None,69.0,No
C0002,Non-binary,Asian,32,Bachelor,13,Sales Executive,"Cold Calling, CRM, Negotiation",AWS,78.4,Yes
C0003,Female,White,31,Bachelor,11,Software Engineer,"Java, Python, AWS",None,69.8,No
C0004,Female,Asian,35,High School,12,Project Manager,"Scheduling, Budgeting, Agile",Scrum Master,54.0,No
C0005,Male,Black,25,Bachelor,2,HR Manager,"Communication, Conflict Resolution, Leadership",None,79.5,Yes
C0006,Male,Hispanic,30,Bachelor,6,Data Scientist,"R, SQL, Python",CFA,81.4,No
C0007,Male,Hispanic,21,High School,0,Software Engineer,"AWS, Java, SQL",Scrum Master,67.7,No
C0008,Female,White,34,Bachelor,10,HR Manager,"Recruitment, Leadership, HR Policies",None,65.4,No
C0009,Female,Asian,33,Bachelor,13,Data Scientist,"Machine Learning, Python, R",None,52.9,No
C0010,Female,White,32,Bachelor,11,Software Engineer,"Git, SQL, C++",PMP,78.3,No
C0011,Male,Black,30,PhD,5,Sales Executive,"Cold Calling, CRM, Negotiation",Scrum Master,68.4,No
C0012,Non-binary,White,32,Master,12,HR Manager,"HR Policies, Communication, Leadership",PMP,45.2,No
C0013,Female,White,39,Bachelor,18,Software Engineer,"SQL, Python, C++",AWS,57.1,No
C0014,Male,Black,28,PhD,8,Data Scientist,"Machine Learning, SQL, Statistics",None,78.6,No
C0015,Male,Asian,30,Master,9,Data Scientist,"Python, Deep Learning, Statistics",PMP,69.6,No
C0016,Male,White,23,Bachelor,4,Sales Executive,"Presentation, Negotiation, Cold Calling",None,63.6,No
C0017,Male,Asian,24,High School,0,HR Manager,"HR Policies, Conflict Resolution, Leadership",Scrum Master,73.5,No
C0018,Female,Black,30,Master,9,HR Manager,"Recruitment, Communication, Leadership",None,61.6,No
C0019,Male,White,36,Bachelor,13,Software Engineer,"Git, Java, C++",AWS,68.6,No
C0020,Male,Asian,28,Master,8,Data Scientist,"Python, R, Statistics",AWS,70.3,No
C0021,Female,White,28,Master,3,Data Scientist,"Deep Learning, Machine Learning, Statistics",AWS,88.9,No
C0022,Male,Black,27,Master,6,Sales Executive,"Cold Calling, CRM, Presentation",None,89.8,No
C0023,Male,Asian,26,PhD,3,Sales Executive,"Cold Calling, CRM, Networking",Scrum Master,53.3,No
C0024,Male,White,31,Bachelor,8,HR Manager,"HR Policies, Communication, Conflict Resolution",AWS,74.4,No
C0025,Female,White,21,High School,2,Data Scientist,"Statistics, R, SQL",None,57.5,No
C0026,Female,Black,37,Master,15,Software Engineer,"Java, SQL, AWS",None,59.4,No
C0027,Male,Hispanic,26,Bachelor,3,Project Manager,"Leadership, Scrum, Scheduling",None,54.4,No
C0028,Female,Asian,34,Master,10,Software Engineer,"C++, Python, Java",PMP,61.3,No
C0029,Female,Asian,22,PhD,0,Sales Executive,"Negotiation, Cold Calling, CRM",Scrum Master,58.1,Yes
C0030,Male,Asian,34,Master,9,Software Engineer,"C++, Python, Java",None,83.3,Yes
C0031,Female,White,34,Bachelor,16,Data Scientist,"SQL, Machine Learning, R",Scrum Master,63.6,No
C0032,Male,Black,32,Bachelor,7,HR Manager,"Leadership, Conflict Resolution, HR Policies",AWS,53.5,No
C0033,Male,Asian,24,Bachelor,3,Project Manager,"Budgeting, Scrum, Scheduling",PMP,73.0,No
C0034,Non-binary,White,31,Bachelor,11,HR Manager,"Recruitment, Conflict Resolution, HR Policies",None,70.2,No
C0035,Non-binary,White,22,Master,1,Project Manager,"Scheduling, Leadership, Budgeting",AWS,69.4,Yes
C0036,Female,White,28,Master,4,Project Manager,"Scheduling, Budgeting, Leadership",None,78.1,No
C0037,Male,Black,36,Master,18,Data Scientist,"Deep Learning, Machine Learning, R",Scrum Master,85.3,No
C0038,Male,Other,34,Bachelor,14,Data Scientist,"R, SQL, Deep Learning",None,70.2,No
C0039,Female,White,30,Bachelor,11,Sales Executive,"Negotiation, Networking, Presentation",None,74.7,No
C0040,Male,Black,24,Master,1,Sales Executive,"CRM, Networking, Cold Calling",Scrum Master,70.5,No
C0041,Male,White,33,Bachelor,15,Project Manager,"Budgeting, Agile, Scrum",Scrum Master,80.1,Yes
C0042,Female,Other,30,Bachelor,9,Sales Executive,"Presentation, Networking, Cold Calling",None,55.3,No
C0043,Male,White,20,Master,0,Data Scientist,"Machine Learning, SQL, Python",PMP,81.2,Yes
C0044,Non-binary,Black,34,Master,11,Sales Executive,"Negotiation, Cold Calling, Presentation",None,72.8,No
C0045,Male,Asian,29,Bachelor,9,Project Manager,"Leadership, Agile, Scrum",None,63.4,Yes
C0046,Female,Asian,37,Master,14,HR Manager,"Leadership, Recruitment, Conflict Resolution",None,92.1,No
C0047,Male,Black,23,Bachelor,3,Software Engineer,"Python, C++, Java",Scrum Master,59.4,No
C0048,Female,White,20,PhD,0,Sales Executive,"Networking, Negotiation, Cold Calling",PMP,75.3,Yes
C0049,Female,Black,31,High School,13,Data Scientist,"Machine Learning, SQL, R",None,60.4,No
C0050,Male,White,31,High School,10,HR Manager,"Recruitment, HR Policies, Communication",AWS,80.8,No
C0051,Non-binary,White,20,Master,0,Data Scientist,"SQL, Statistics, Python",None,92.0,Yes
C0052,Female,Black,24,Bachelor,5,Sales Executive,"Networking, Cold Calling, CRM",None,77.8,Yes
C0053,Non-binary,White,46,Master,27,Project Manager,"Agile, Scheduling, Scrum",AWS,70.8,No
C0054,Female,White,28,Master,6,Software Engineer,"C++, Java, Python",AWS,81.3,Yes
C0055,Female,Asian,34,Master,9,Software Engineer,"Java, AWS, Python",Scrum Master,64.1,No
C0056,Non-binary,Other,26,PhD,5,HR Manager,"Communication, Leadership, Conflict Resolution",None,74.9,No
C0057,Male,Asian,20,Bachelor,0,Software Engineer,"AWS, Java, Git",Scrum Master,73.9,No
C0058,Male,White,28,Master,5,Project Manager,"Budgeting, Scrum, Scheduling",Scrum Master,62.8,No
C0059,Male,White,28,High School,6,Data Scientist,"SQL, Statistics, Deep Learning",None,92.1,No
C0060,Male,Other,27,Bachelor,8,Project Manager,"Scrum, Scheduling, Leadership",AWS,85.4,No
C0061,Male,White,29,Master,8,HR Manager,"HR Policies, Leadership, Conflict Resolution",Scrum Master,66.4,No
C0062,Male,White,31,Bachelor,11,HR Manager,"HR Policies, Leadership, Conflict Resolution",PMP,85.3,Yes
C0063,Female,Black,29,Bachelor,10,Software Engineer,"SQL, Python, Java",None,58.2,No
C0064,Male,Asian,22,Bachelor,0,Project Manager,"Scrum, Agile, Scheduling",AWS,77.6,Yes
C0065,Male,Asian,32,Master,7,Data Scientist,"Python, SQL, R",CFA,73.5,No
C0066,Female,White,20,PhD,0,Project Manager,"Scheduling, Scrum, Agile",None,88.8,No
C0067,Male,White,20,High School,0,Data Scientist,"Python, Statistics, R",CFA,78.3,Yes
C0068,Female,Other,34,Bachelor,10,Data Scientist,"Python, Statistics, Machine Learning",None,54.5,No
C0069,Male,White,33,Master,13,Project Manager,"Agile, Scrum, Budgeting",AWS,85.2,No
C0070,Non-binary,Asian,29,Bachelor,11,Sales Executive,"Presentation, CRM, Cold Calling",Scrum Master,65.6,No
C0071,Female,Asian,21,High School,2,Project Manager,"Scrum, Budgeting, Agile",AWS,65.1,No
C0072,Male,Asian,25,Bachelor,7,Data Scientist,"Deep Learning, Statistics, R",None,73.3,No
C0073,Male,White,28,Bachelor,3,HR Manager,"Communication, Conflict Resolution, HR Policies",PMP,69.3,No
C0074,Female,White,20,Bachelor,0,HR Manager,"Leadership, HR Policies, Recruitment",PMP,89.9,Yes
C0075,Female,Black,25,Master,3,Software Engineer,"SQL, Git, Python",AWS,78.1,No
C0076,Female,Hispanic,33,Bachelor,11,HR Manager,"Communication, Conflict Resolution, Recruitment",PMP,58.6,No
C0077,Female,Hispanic,38,PhD,13,Sales Executive,"Cold Calling, Negotiation, Presentation",CFA,62.7,No
C0078,Male,White,27,Master,8,Data Scientist,"R, Statistics, Deep Learning",None,61.9,Yes
C0079,Male,White,34,Master,12,Project Manager,"Scrum, Budgeting, Agile",AWS,84.7,Yes
C0080,Male,Hispanic,20,High School,0,Project Manager,"Leadership, Budgeting, Agile",None,72.3,No
C0081,Female,Asian,33,Bachelor,9,Sales Executive,"Negotiation, Presentation, Cold Calling",Scrum Master,60.2,No
C0082,Female,Hispanic,25,Bachelor,5,HR Manager,"Communication, Conflict Resolution, HR Policies",CFA,85.7,No
C0083,Male,White,31,PhD,7,Data Scientist,"SQL, Python, Statistics",None,80.0,No
C0084,Male,Black,28,Bachelor,6,HR Manager,"Recruitment, Conflict Resolution, Leadership",PMP,74.9,No
C0085,Male,Asian,37,Bachelor,17,Software Engineer,"SQL, Git, Java",AWS,74.4,No
C0086,Male,Asian,24,Bachelor,2,HR Manager,"Leadership, Communication, Conflict Resolution",None,59.4,No
C0087,Female,Black,33,Bachelor,14,Software Engineer,"SQL, Python, Git",None,75.6,Yes
C0088,Female,White,28,Bachelor,4,Project Manager,"Leadership, Budgeting, Scrum",CFA,67.8,No
C0089,Female,Black,29,Bachelor,10,Data Scientist,"Deep Learning, SQL, Statistics",None,78.7,Yes
C0090,Female,White,28,High School,6,Software Engineer,"Java, Git, C++",None,78.4,No
C0091,Male,Black,24,High School,3,HR Manager,"Recruitment, Communication, HR Policies",CFA,72.4,No
C0092,Female,Other,29,Bachelor,6,HR Manager,"Conflict Resolution, Communication, HR Policies",None,68.7,No
C0093,Female,Black,29,Master,9,Project Manager,"Leadership, Agile, Budgeting",Scrum Master,86.6,No
